trajectory_id,trial_id,action,latent_reward
traj_000023,24,2,0.63
traj_000023,24,3,0.44
traj_000023,25,0,0.82
traj_000023,25,1,0.65
traj_000023,25,2,0.67
traj_000023,25,3,0.46
traj_000023,26,0,0.88
traj_000023,26,1,0.75
traj_000023,26,2,0.6
traj_000023,26,3,0.37
traj_000023,27,0,0.88
traj_000023,27,1,0.71
traj_000023,27,2,0.61
traj_000023,27,3,0.46
traj_000023,28,0,0.92
traj_000023,28,1,0.74
traj_000023,28,2,0.57
traj_000023,28,3,0.48
traj_000023,29,0,0.8
traj_000023,29,1,0.59
traj_000023,29,2,0.61
traj_000023,29,3,0.5
traj_000023,30,0,0.82
traj_000023,30,1,0.64
traj_000023,30,2,0.54
traj_000023,30,3,0.45
traj_000023,31,0,0.87
traj_000023,31,1,0.69
traj_000023,31,2,0.54
traj_000023,31,3,0.57
traj_000023,32,0,0.96
traj_000023,32,1,0.72
traj_000023,32,2,0.59
traj_000023,32,3,0.61
traj_000023,33,0,0.96
traj_000023,33,1,0.67
traj_000023,33,2,0.56
traj_000023,33,3,0.51
traj_000023,34,0,0.91
traj_000023,34,1,0.69
traj_000023,34,2,0.62
traj_000023,34,3,0.49
traj_000023,35,0,0.89
traj_000023,35,1,0.81
traj_000023,35,2,0.6
traj_000023,35,3,0.54
traj_000023,36,0,0.98
traj_000023,36,1,0.69
traj_000023,36,2,0.53
traj_000023,36,3,0.55
traj_000023,37,0,0.98
traj_000023,37,1,0.6
traj_000023,37,2,0.47
traj_000023,37,3,0.58
traj_000023,38,0,0.92
traj_000023,38,1,0.62
traj_000023,38,2,0.53
traj_000023,38,3,0.49
traj_000023,39,0,0.92
traj_000023,39,1,0.59
traj_000023,39,2,0.58
traj_000023,39,3,0.54
traj_000023,40,0,0.95
traj_000023,40,1,0.58
traj_000023,40,2,0.53
traj_000023,40,3,0.6
traj_000023,41,0,0.84
traj_000023,41,1,0.59
traj_000023,41,2,0.58
traj_000023,41,3,0.49
traj_000023,42,0,0.95
traj_000023,42,1,0.59
traj_000023,42,2,0.5
traj_000023,42,3,0.43
traj_000023,43,0,0.99
traj_000023,43,1,0.62
traj_000023,43,2,0.54
traj_000023,43,3,0.45
traj_000023,44,0,0.98
traj_000023,44,1,0.53
traj_000023,44,2,0.47
traj_000023,44,3,0.57
traj_000023,45,0,0.93
traj_000023,45,1,0.54
traj_000023,45,2,0.45
traj_000023,45,3,0.56
traj_000023,46,0,0.93
traj_000023,46,1,0.5
traj_000023,46,2,0.46
traj_000023,46,3,0.54
traj_000023,47,0,0.88
traj_000023,47,1,0.56
traj_000023,47,2,0.48
traj_000023,47,3,0.54
traj_000023,48,0,0.92
traj_000023,48,1,0.52
traj_000023,48,2,0.5
traj_000023,48,3,0.67
traj_000023,49,0,0.94
traj_000023,49,1,0.48
traj_000023,49,2,0.51
traj_000023,49,3,0.57
traj_000023,50,0,0.93
traj_000023,50,1,0.41
traj_000023,50,2,0.49
traj_000023,50,3,0.59
traj_000023,51,0,0.94
traj_000023,51,1,0.45
traj_000023,51,2,0.4
traj_000023,51,3,0.66
traj_000023,52,0,0.94
traj_000023,52,1,0.37
traj_000023,52,2,0.4
traj_000023,52,3,0.54
traj_000023,53,0,0.91
traj_000023,53,1,0.42
traj_000023,53,2,0.53
traj_000023,53,3,0.6
traj_000023,54,0,0.78
traj_000023,54,1,0.42
traj_000023,54,2,0.53
traj_000023,54,3,0.59
traj_000023,55,0,0.9
traj_000023,55,1,0.53
traj_000023,55,2,0.5
traj_000023,55,3,0.6
traj_000023,56,0,0.81
traj_000023,56,1,0.53
traj_000023,56,2,0.44
traj_000023,56,3,0.7
traj_000023,57,0,0.79
traj_000023,57,1,0.5
traj_000023,57,2,0.43
traj_000023,57,3,0.72
traj_000023,58,0,0.67
traj_000023,58,1,0.42
traj_000023,58,2,0.39
traj_000023,58,3,0.69
traj_000023,59,0,0.65
traj_000023,59,1,0.41
traj_000023,59,2,0.43
traj_000023,59,3,0.68
traj_000023,60,0,0.74
traj_000023,60,1,0.49
traj_000023,60,2,0.44
traj_000023,60,3,0.67
traj_000023,61,0,0.59
traj_000023,61,1,0.48
traj_000023,61,2,0.39
traj_000023,61,3,0.79
traj_000023,62,0,0.69
traj_000023,62,1,0.4
traj_000023,62,2,0.41
traj_000023,62,3,0.7
traj_000023,63,0,0.61
traj_000023,63,1,0.44
traj_000023,63,2,0.46
traj_000023,63,3,0.77
traj_000023,64,0,0.68
traj_000023,64,1,0.46
traj_000023,64,2,0.39
traj_000023,64,3,0.77
traj_000023,65,0,0.66
traj_000023,65,1,0.41
traj_000023,65,2,0.46
traj_000023,65,3,0.72
traj_000023,66,0,0.7
traj_000023,66,1,0.53
traj_000023,66,2,0.43
traj_000023,66,3,0.77
traj_000023,67,0,0.69
traj_000023,67,1,0.38
traj_000023,67,2,0.46
traj_000023,67,3,0.74
traj_000023,68,0,0.72
traj_000023,68,1,0.41
traj_000023,68,2,0.6
traj_000023,68,3,0.59
traj_000023,69,0,0.72
traj_000023,69,1,0.44
traj_000023,69,2,0.62
traj_000023,69,3,0.67
traj_000023,70,0,0.72
traj_000023,70,1,0.44
traj_000023,70,2,0.54
traj_000023,70,3,0.67
traj_000023,71,0,0.72
traj_000023,71,1,0.49
traj_000023,71,2,0.63
traj_000023,71,3,0.57
traj_000023,72,0,0.78
traj_000023,72,1,0.44
traj_000023,72,2,0.61
traj_000023,72,3,0.61
traj_000023,73,0,0.84
traj_000023,73,1,0.47
traj_000023,73,2,0.64
traj_000023,73,3,0.65
traj_000023,74,0,0.82
traj_000023,74,1,0.54
traj_000023,74,2,0.57
traj_000023,74,3,0.61
traj_000023,75,0,0.81
traj_000023,75,1,0.47
traj_000023,75,2,0.59
traj_000023,75,3,0.75
traj_000023,76,0,0.97
traj_000023,76,1,0.48
traj_000023,76,2,0.66
traj_000023,76,3,0.66
traj_000023,77,0,0.81
traj_000023,77,1,0.46
traj_000023,77,2,0.69
traj_000023,77,3,0.56
traj_000023,78,0,0.75
traj_000023,78,1,0.5
traj_000023,78,2,0.64
traj_000023,78,3,0.59
traj_000023,79,0,0.73
traj_000023,79,1,0.58
traj_000023,79,2,0.65
traj_000023,79,3,0.59
traj_000023,80,0,0.78
traj_000023,80,1,0.57
traj_000023,80,2,0.55
traj_000023,80,3,0.63
traj_000023,81,0,0.75
traj_000023,81,1,0.5
traj_000023,81,2,0.63
traj_000023,81,3,0.65
traj_000023,82,0,0.81
traj_000023,82,1,0.51
traj_000023,82,2,0.63
traj_000023,82,3,0.61
traj_000023,83,0,0.85
traj_000023,83,1,0.51
traj_000023,83,2,0.54
traj_000023,83,3,0.6
traj_000023,84,0,0.95
traj_000023,84,1,0.45
traj_000023,84,2,0.59
traj_000023,84,3,0.6
traj_000023,85,0,0.82
traj_000023,85,1,0.48
traj_000023,85,2,0.43
traj_000023,85,3,0.51
traj_000023,86,0,0.88
traj_000023,86,1,0.46
traj_000023,86,2,0.47
traj_000023,86,3,0.58
traj_000023,87,0,0.82
traj_000023,87,1,0.64
traj_000023,87,2,0.59
traj_000023,87,3,0.63
traj_000023,88,0,0.83
traj_000023,88,1,0.63
traj_000023,88,2,0.64
traj_000023,88,3,0.6
traj_000023,89,0,0.79
traj_000023,89,1,0.66
traj_000023,89,2,0.59
traj_000023,89,3,0.6
traj_000023,90,0,0.74
traj_000023,90,1,0.66
traj_000023,90,2,0.63
traj_000023,90,3,0.68
traj_000023,91,0,0.74
traj_000023,91,1,0.66
traj_000023,91,2,0.66
traj_000023,91,3,0.64
traj_000023,92,0,0.82
traj_000023,92,1,0.65
traj_000023,92,2,0.55
traj_000023,92,3,0.51
traj_000023,93,0,0.8
traj_000023,93,1,0.52
traj_000023,93,2,0.57
traj_000023,93,3,0.54
traj_000023,94,0,0.7
traj_000023,94,1,0.68
traj_000023,94,2,0.6
traj_000023,94,3,0.58
traj_000023,95,0,0.75
traj_000023,95,1,0.61
traj_000023,95,2,0.47
traj_000023,95,3,0.41
traj_000023,96,0,0.64
traj_000023,96,1,0.57
traj_000023,96,2,0.56
traj_000023,96,3,0.52
traj_000023,97,0,0.64
traj_000023,97,1,0.62
traj_000023,97,2,0.46
traj_000023,97,3,0.59
traj_000023,98,0,0.65
traj_000023,98,1,0.57
traj_000023,98,2,0.46
traj_000023,98,3,0.59
traj_000023,99,0,0.68
traj_000023,99,1,0.51
traj_000023,99,2,0.44
traj_000023,99,3,0.5
traj_000023,100,0,0.71
traj_000023,100,1,0.5
traj_000023,100,2,0.49
traj_000023,100,3,0.45
traj_000023,101,0,0.66
traj_000023,101,1,0.51
traj_000023,101,2,0.42
traj_000023,101,3,0.41
traj_000023,102,0,0.66
traj_000023,102,1,0.56
traj_000023,102,2,0.46
traj_000023,102,3,0.46
traj_000023,103,0,0.64
traj_000023,103,1,0.58
traj_000023,103,2,0.51
traj_000023,103,3,0.4
traj_000023,104,0,0.62
traj_000023,104,1,0.57
traj_000023,104,2,0.48
traj_000023,104,3,0.42
traj_000023,105,0,0.68
traj_000023,105,1,0.51
traj_000023,105,2,0.5
traj_000023,105,3,0.43
traj_000023,106,0,0.64
traj_000023,106,1,0.59
traj_000023,106,2,0.6
traj_000023,106,3,0.36
traj_000023,107,0,0.6
traj_000023,107,1,0.56
traj_000023,107,2,0.5
traj_000023,107,3,0.41
traj_000023,108,0,0.65
traj_000023,108,1,0.55
traj_000023,108,2,0.52
traj_000023,108,3,0.34
traj_000023,109,0,0.74
traj_000023,109,1,0.6
traj_000023,109,2,0.57
traj_000023,109,3,0.4
traj_000023,110,0,0.6
traj_000023,110,1,0.59
traj_000023,110,2,0.53
traj_000023,110,3,0.35
traj_000023,111,0,0.68
traj_000023,111,1,0.71
traj_000023,111,2,0.63
traj_000023,111,3,0.32
traj_000023,112,0,0.77
traj_000023,112,1,0.66
traj_000023,112,2,0.66
traj_000023,112,3,0.3
traj_000023,113,0,0.66
traj_000023,113,1,0.52
traj_000023,113,2,0.67
traj_000023,113,3,0.28
traj_000023,114,0,0.68
traj_000023,114,1,0.54
traj_000023,114,2,0.56
traj_000023,114,3,0.37
traj_000023,115,0,0.7
traj_000023,115,1,0.59
traj_000023,115,2,0.56
traj_000023,115,3,0.39
traj_000023,116,0,0.62
traj_000023,116,1,0.6
traj_000023,116,2,0.6
traj_000023,116,3,0.32
traj_000023,117,0,0.66
traj_000023,117,1,0.67
traj_000023,117,2,0.47
traj_000023,117,3,0.39
traj_000023,118,0,0.66
traj_000023,118,1,0.68
traj_000023,118,2,0.5
traj_000023,118,3,0.41
traj_000023,119,0,0.71
traj_000023,119,1,0.66
traj_000023,119,2,0.57
traj_000023,119,3,0.27
traj_000040,0,0,0.07
traj_000040,0,1,0.16
traj_000040,0,2,1.0
traj_000040,0,3,0.77
traj_000040,1,0,0.05
traj_000040,1,1,0.19
traj_000040,1,2,0.96
traj_000040,1,3,0.72
traj_000040,2,0,0.08
traj_000040,2,1,0.2
traj_000040,2,2,1.0
traj_000040,2,3,0.7
traj_000040,3,0,0.05
traj_000040,3,1,0.2
traj_000040,3,2,0.91
traj_000040,3,3,0.8
traj_000040,4,0,0.11
traj_000040,4,1,0.21
traj_000040,4,2,0.96
traj_000040,4,3,0.72
traj_000040,5,0,0.16
traj_000040,5,1,0.23
traj_000040,5,2,0.9
traj_000040,5,3,0.66
traj_000040,6,0,0.13
traj_000040,6,1,0.28
traj_000040,6,2,0.91
traj_000040,6,3,0.83
traj_000040,7,0,0.23
traj_000040,7,1,0.26
traj_000040,7,2,0.93
traj_000040,7,3,0.77
traj_000040,8,0,0.22
traj_000040,8,1,0.22
traj_000040,8,2,0.9
traj_000040,8,3,0.74
traj_000040,9,0,0.14
traj_000040,9,1,0.28
traj_000040,9,2,0.84
traj_000040,9,3,0.78
traj_000040,10,0,0.21
traj_000040,10,1,0.27
traj_000040,10,2,0.85
traj_000040,10,3,0.74
traj_000040,11,0,0.16
traj_000040,11,1,0.23
traj_000040,11,2,0.93
traj_000040,11,3,0.73
traj_000040,12,0,0.24
traj_000040,12,1,0.32
traj_000040,12,2,0.79
traj_000040,12,3,0.66
traj_000040,13,0,0.25
traj_000040,13,1,0.2
traj_000040,13,2,0.8
traj_000040,13,3,0.57
traj_000040,14,0,0.21
traj_000040,14,1,0.28
traj_000040,14,2,0.88
traj_000040,14,3,0.63
traj_000040,15,0,0.25
traj_000040,15,1,0.3
traj_000040,15,2,0.79
traj_000040,15,3,0.73
traj_000040,16,0,0.23
traj_000040,16,1,0.33
traj_000040,16,2,0.77
traj_000040,16,3,0.72
traj_000040,17,0,0.23
traj_000040,17,1,0.35
traj_000040,17,2,0.74
traj_000040,17,3,0.65
traj_000040,18,0,0.28
traj_000040,18,1,0.38
traj_000040,18,2,0.81
traj_000040,18,3,0.65
traj_000040,19,0,0.32
traj_000040,19,1,0.36
traj_000040,19,2,0.76
traj_000040,19,3,0.62
traj_000040,20,0,0.28
traj_000040,20,1,0.4
traj_000040,20,2,0.86
traj_000040,20,3,0.57
traj_000040,21,0,0.35
traj_000040,21,1,0.3
traj_000040,21,2,0.83
traj_000040,21,3,0.65
traj_000040,22,0,0.34
traj_000040,22,1,0.26
traj_000040,22,2,0.86
traj_000040,22,3,0.68
traj_000040,23,0,0.37
traj_000040,23,1,0.35
traj_000040,23,2,0.82
traj_000040,23,3,0.64
traj_000040,24,0,0.32
traj_000040,24,1,0.41
traj_000040,24,2,0.7
traj_000040,24,3,0.55
traj_000040,25,0,0.32
traj_000040,25,1,0.38
traj_000040,25,2,0.8
traj_000040,25,3,0.53
traj_000040,26,0,0.31
traj_000040,26,1,0.3
traj_000040,26,2,0.73
traj_000040,26,3,0.5
traj_000040,27,0,0.3
traj_000040,27,1,0.21
traj_000040,27,2,0.79
traj_000040,27,3,0.51
traj_000040,28,0,0.35
traj_000040,28,1,0.26
traj_000040,28,2,0.81
traj_000040,28,3,0.51
traj_000040,29,0,0.42
traj_000040,29,1,0.31
traj_000040,29,2,0.76
traj_000040,29,3,0.48
traj_000040,30,0,0.27
traj_000040,30,1,0.33
traj_000040,30,2,0.75
traj_000040,30,3,0.56
traj_000040,31,0,0.32
traj_000040,31,1,0.36
traj_000040,31,2,0.69
traj_000040,31,3,0.53
traj_000040,32,0,0.4
traj_000040,32,1,0.4
traj_000040,32,2,0.74
traj_000040,32,3,0.52
traj_000040,33,0,0.35
traj_000040,33,1,0.4
traj_000040,33,2,0.78
traj_000040,33,3,0.5
traj_000040,34,0,0.3
traj_000040,34,1,0.35
traj_000040,34,2,0.7
traj_000040,34,3,0.54
traj_000040,35,0,0.27
traj_000040,35,1,0.42
traj_000040,35,2,0.69
traj_000040,35,3,0.53
traj_000040,36,0,0.41
traj_000040,36,1,0.51
traj_000040,36,2,0.65
traj_000040,36,3,0.61
traj_000040,37,0,0.3
traj_000040,37,1,0.43
traj_000040,37,2,0.7
traj_000040,37,3,0.59
traj_000040,38,0,0.29
traj_000040,38,1,0.57
traj_000040,38,2,0.63
traj_000040,38,3,0.57
traj_000040,39,0,0.31
traj_000040,39,1,0.58
traj_000040,39,2,0.6
traj_000040,39,3,0.63
traj_000040,40,0,0.28
traj_000040,40,1,0.44
traj_000040,40,2,0.64
traj_000040,40,3,0.55
traj_000040,41,0,0.39
traj_000040,41,1,0.51
traj_000040,41,2,0.66
traj_000040,41,3,0.51
traj_000040,42,0,0.42
traj_000040,42,1,0.55
traj_000040,42,2,0.72
traj_000040,42,3,0.61
traj_000040,43,0,0.35
traj_000040,43,1,0.46
traj_000040,43,2,0.66
traj_000040,43,3,0.65
traj_000040,44,0,0.33
traj_000040,44,1,0.44
traj_000040,44,2,0.65
traj_000040,44,3,0.63
traj_000040,45,0,0.36
traj_000040,45,1,0.41
traj_000040,45,2,0.67
traj_000040,45,3,0.57
traj_000040,46,0,0.34
traj_000040,46,1,0.47
traj_000040,46,2,0.74
traj_000040,46,3,0.7
traj_000040,47,0,0.32
traj_000040,47,1,0.36
traj_000040,47,2,0.66
traj_000040,47,3,0.79
traj_000040,48,0,0.34
traj_000040,48,1,0.49
traj_000040,48,2,0.69
traj_000040,48,3,0.72
traj_000040,49,0,0.41
traj_000040,49,1,0.42
traj_000040,49,2,0.75
traj_000040,49,3,0.54
traj_000040,50,0,0.39
traj_000040,50,1,0.44
traj_000040,50,2,0.6
traj_000040,50,3,0.66
traj_000040,51,0,0.43
traj_000040,51,1,0.59
traj_000040,51,2,0.67
traj_000040,51,3,0.68
traj_000040,52,0,0.43
traj_000040,52,1,0.54
traj_000040,52,2,0.71
traj_000040,52,3,0.6
traj_000040,53,0,0.37
traj_000040,53,1,0.43
traj_000040,53,2,0.66
traj_000040,53,3,0.66
traj_000040,54,0,0.43
traj_000040,54,1,0.62
traj_000040,54,2,0.68
traj_000040,54,3,0.65
traj_000040,55,0,0.37
traj_000040,55,1,0.5
traj_000040,55,2,0.63
traj_000040,55,3,0.61
traj_000040,56,0,0.44
traj_000040,56,1,0.47
traj_000040,56,2,0.7
traj_000040,56,3,0.69
traj_000040,57,0,0.5
traj_000040,57,1,0.51
traj_000040,57,2,0.7
traj_000040,57,3,0.51
traj_000040,58,0,0.51
traj_000040,58,1,0.57
traj_000040,58,2,0.59
traj_000040,58,3,0.6
traj_000040,59,0,0.43
traj_000040,59,1,0.59
traj_000040,59,2,0.64
traj_000040,59,3,0.64
traj_000040,60,0,0.45
traj_000040,60,1,0.66
traj_000040,60,2,0.63
traj_000040,60,3,0.62
traj_000040,61,0,0.4
traj_000040,61,1,0.52
traj_000040,61,2,0.64
traj_000040,61,3,0.63
traj_000040,62,0,0.38
traj_000040,62,1,0.52
traj_000040,62,2,0.62
traj_000040,62,3,0.6
traj_000040,63,0,0.5
traj_000040,63,1,0.45
traj_000040,63,2,0.68
traj_000040,63,3,0.68
traj_000040,64,0,0.54
traj_000040,64,1,0.53
traj_000040,64,2,0.64
traj_000040,64,3,0.64
traj_000040,65,0,0.56
traj_000040,65,1,0.49
traj_000040,65,2,0.71
traj_000040,65,3,0.64
traj_000040,66,0,0.6
traj_000040,66,1,0.46
traj_000040,66,2,0.67
traj_000040,66,3,0.64
traj_000040,67,0,0.56
traj_000040,67,1,0.43
traj_000040,67,2,0.66
traj_000040,67,3,0.62
traj_000040,68,0,0.39
traj_000040,68,1,0.47
traj_000040,68,2,0.71
traj_000040,68,3,0.67
traj_000040,69,0,0.35
traj_000040,69,1,0.48
traj_000040,69,2,0.67
traj_000040,69,3,0.67
traj_000040,70,0,0.38
traj_000040,70,1,0.45
traj_000040,70,2,0.61
traj_000040,70,3,0.57
traj_000040,71,0,0.38
traj_000040,71,1,0.33
traj_000040,71,2,0.64
traj_000040,71,3,0.7
traj_000040,72,0,0.35
traj_000040,72,1,0.42
traj_000040,72,2,0.64
traj_000040,72,3,0.68
traj_000040,73,0,0.41
traj_000040,73,1,0.32
traj_000040,73,2,0.64
traj_000040,73,3,0.68
traj_000040,74,0,0.34
traj_000040,74,1,0.4
traj_000040,74,2,0.6
traj_000040,74,3,0.7
traj_000040,75,0,0.31
traj_000040,75,1,0.44
traj_000040,75,2,0.57
traj_000040,75,3,0.59
traj_000040,76,0,0.43
traj_000040,76,1,0.43
traj_000040,76,2,0.4
traj_000040,76,3,0.69
traj_000040,77,0,0.41
traj_000040,77,1,0.43
traj_000040,77,2,0.48
traj_000040,77,3,0.61
traj_000040,78,0,0.26
traj_000040,78,1,0.51
traj_000040,78,2,0.55
traj_000040,78,3,0.67
traj_000040,79,0,0.31
traj_000040,79,1,0.45
traj_000040,79,2,0.47
traj_000040,79,3,0.66
traj_000040,80,0,0.34
traj_000040,80,1,0.57
traj_000040,80,2,0.54
traj_000040,80,3,0.68
traj_000040,81,0,0.29
traj_000040,81,1,0.47
traj_000040,81,2,0.5
traj_000040,81,3,0.68
traj_000040,82,0,0.21
traj_000040,82,1,0.43
traj_000040,82,2,0.46
traj_000040,82,3,0.65
traj_000040,83,0,0.23
traj_000040,83,1,0.53
traj_000040,83,2,0.54
traj_000040,83,3,0.61
traj_000040,84,0,0.2
traj_000040,84,1,0.42
traj_000040,84,2,0.42
traj_000040,84,3,0.66
traj_000040,85,0,0.36
traj_000040,85,1,0.46
traj_000040,85,2,0.47
traj_000040,85,3,0.61
traj_000040,86,0,0.28
traj_000040,86,1,0.57
traj_000040,86,2,0.45
traj_000040,86,3,0.61
traj_000040,87,0,0.32
traj_000040,87,1,0.51
traj_000040,87,2,0.41
traj_000040,87,3,0.62
traj_000040,88,0,0.28
traj_000040,88,1,0.53
traj_000040,88,2,0.48
traj_000040,88,3,0.6
traj_000040,89,0,0.38
traj_000040,89,1,0.54
traj_000040,89,2,0.43
traj_000040,89,3,0.58
traj_000040,90,0,0.19
traj_000040,90,1,0.52
traj_000040,90,2,0.48
traj_000040,90,3,0.62
traj_000040,91,0,0.31
traj_000040,91,1,0.47
traj_000040,91,2,0.49
traj_000040,91,3,0.59
traj_000040,92,0,0.25
traj_000040,92,1,0.43
traj_000040,92,2,0.5
traj_000040,92,3,0.55
traj_000040,93,0,0.21
traj_000040,93,1,0.53
traj_000040,93,2,0.48
traj_000040,93,3,0.56
traj_000040,94,0,0.22
traj_000040,94,1,0.54
traj_000040,94,2,0.57
traj_000040,94,3,0.51
traj_000040,95,0,0.27
traj_000040,95,1,0.49
traj_000040,95,2,0.59
traj_000040,95,3,0.57
traj_000040,96,0,0.18
traj_000040,96,1,0.5
traj_000040,96,2,0.61
traj_000040,96,3,0.57
traj_000040,97,0,0.12
traj_000040,97,1,0.6
traj_000040,97,2,0.53
traj_000040,97,3,0.59
traj_000040,98,0,0.18
traj_000040,98,1,0.61
traj_000040,98,2,0.59
traj_000040,98,3,0.58
traj_000040,99,0,0.22
traj_000040,99,1,0.59
traj_000040,99,2,0.52
traj_000040,99,3,0.55
traj_000040,100,0,0.14
traj_000040,100,1,0.67
traj_000040,100,2,0.54
traj_000040,100,3,0.62
traj_000040,101,0,0.14
traj_000040,101,1,0.55
traj_000040,101,2,0.55
traj_000040,101,3,0.56
traj_000040,102,0,0.13
traj_000040,102,1,0.7
traj_000040,102,2,0.54
traj_000040,102,3,0.48
traj_000040,103,0,0.17
traj_000040,103,1,0.5
traj_000040,103,2,0.59
traj_000040,103,3,0.59
traj_000040,104,0,0.13
traj_000040,104,1,0.55
traj_000040,104,2,0.53
traj_000040,104,3,0.5
traj_000040,105,0,0.09
traj_000040,105,1,0.55
traj_000040,105,2,0.61
traj_000040,105,3,0.63
traj_000040,106,0,0.01
traj_000040,106,1,0.53
traj_000040,106,2,0.6
traj_000040,106,3,0.54
traj_000040,107,0,0.03
traj_000040,107,1,0.59
traj_000040,107,2,0.64
traj_000040,107,3,0.5
traj_000040,108,0,0.07
traj_000040,108,1,0.56
traj_000040,108,2,0.61
traj_000040,108,3,0.56
traj_000040,109,0,0.06
traj_000040,109,1,0.49
traj_000040,109,2,0.62
traj_000040,109,3,0.62
traj_000040,110,0,0.05
traj_000040,110,1,0.44
traj_000040,110,2,0.56
traj_000040,110,3,0.6
traj_000040,111,0,0.06
traj_000040,111,1,0.4
traj_000040,111,2,0.52
traj_000040,111,3,0.55
traj_000040,112,0,0.06
traj_000040,112,1,0.43
traj_000040,112,2,0.49
traj_000040,112,3,0.62
traj_000040,113,0,0.06
traj_000040,113,1,0.37
traj_000040,113,2,0.57
traj_000040,113,3,0.63
traj_000040,114,0,0.06
traj_000040,114,1,0.43
traj_000040,114,2,0.48
traj_000040,114,3,0.57
traj_000040,115,0,0.04
traj_000040,115,1,0.47
traj_000040,115,2,0.54
traj_000040,115,3,0.66
traj_000040,116,0,0.05
traj_000040,116,1,0.35
traj_000040,116,2,0.46
traj_000040,116,3,0.54
traj_000040,117,0,0.05
traj_000040,117,1,0.37
traj_000040,117,2,0.5
traj_000040,117,3,0.58
traj_000040,118,0,0.1
traj_000040,118,1,0.44
traj_000040,118,2,0.48
traj_000040,118,3,0.55
traj_000040,119,0,0.1
traj_000040,119,1,0.41
traj_000040,119,2,0.47
traj_000040,119,3,0.54
traj_000070,0,0,0.21
traj_000070,0,1,0.59
traj_000070,0,2,0.95
traj_000070,0,3,0.43
traj_000070,1,0,0.37
traj_000070,1,1,0.51
traj_000070,1,2,0.85
traj_000070,1,3,0.38
traj_000070,2,0,0.3
traj_000070,2,1,0.52
traj_000070,2,2,0.87
traj_000070,2,3,0.45
traj_000070,3,0,0.27
traj_000070,3,1,0.53
traj_000070,3,2,0.87
traj_000070,3,3,0.5
traj_000070,4,0,0.27
traj_000070,4,1,0.51
traj_000070,4,2,0.85
traj_000070,4,3,0.53
traj_000070,5,0,0.3
traj_000070,5,1,0.56
traj_000070,5,2,0.91
traj_000070,5,3,0.48
traj_000070,6,0,0.33
traj_000070,6,1,0.46
traj_000070,6,2,0.87
traj_000070,6,3,0.5
traj_000070,7,0,0.21
traj_000070,7,1,0.51
traj_000070,7,2,0.92
traj_000070,7,3,0.46
traj_000070,8,0,0.27
traj_000070,8,1,0.51
traj_000070,8,2,0.85
traj_000070,8,3,0.54
traj_000070,9,0,0.25
